"_id","type","fabric","supplies","steps","notes","disclaimer","source","source_url"
"145","Food coloring, red","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;White vinegar;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak in 1 quart warm water and 1 tablespoon white vinegar for 30 minutes.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"146","Food coloring, red","Carpet","Detergent;White vinegar;Rubbing alcohol","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent/ammonia solution.;Blot until the liquid is absorbed.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;If the stain remains, sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"147","Food coloring, red","Upholstery","Detergent;Ammonia;White vinegar;Rubbing alcohol","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Using a clean white cloth, sponge the stain with the detergent/ammonia solution;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or is no longer absorbed into the cloth.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;Repeat Steps 6 and 7 until the stain disappears or is no longer absorbed into the cloth.;Sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"148","Fruit","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"149","Fruit juice (apple, grape, orange)","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"150","Fruit juice (apple, grape, orange)","Carpet","Dull knife;Wet vacuum (for spilled liquid);Detergent;3% Hydrogen peroxide","Blot up as much of the stain as is possible by blotting with a white paper towel or scraping with a dull knife. A wet vacuum is useful if a large quantity of liquid was spilled.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"151","Fruit punch","Upholstery","Detergent;Ammonia;White vinegar;Rubbing alcohol","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Using a clean white cloth, sponge the stain with the detergent/ammonia solution;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or is no longer absorbed into the cloth.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;Repeat Steps 6 and 7 until the stain disappears or is no longer absorbed into the cloth.;Sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"152","Furniture polish, wax","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"153","Furniture polish, wax","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"154","Furniture polish, wax","Upholstery","Dry cleaning solvent","Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"155","Gasoline","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"156","Gasoline","Carpet","Dry Cleaning solvent;Detergent;White vinegar","Scrape off excess foreign material.;Sprinkle baking soda, cornstarch or other absorbent in the stain. Let stand for 10 or 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with this solution. Blot until the liquid is absorbed.;Sponge with cold water and blot dry to remove the detergent/vinegar solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
